"GeographyCode","KS606EW0001","KS606EW0002","KS606EW0003","KS606EW0004","KS606EW0005","KS606EW0006","KS606EW0007","KS606EW0008","KS606EW0009","KS606EW0010","KS606EW0011","KS606EW0012","KS606EW0013","KS606EW0014","KS606EW0015","KS606EW0016","KS606EW0017","KS606EW0018","KS606EW0019","KS606EW0020","KS606EW0021","KS606EW0022","KS606EW0023","KS606EW0024","KS606EW0025","KS606EW0026","KS606EW0027","KS606EW0028","KS606EW0029","KS606EW0030","KS606EW0031","KS606EW0032","KS606EW0033","KS606EW0034","KS606EW0035","KS606EW0036","KS606EW0037"
"E01004290",350,0,0,10,1,0,10,37,17,42,35,34,9,40,18,17,30,19,31,0,0,2.85714285714286,0.285714285714286,0,2.85714285714286,10.5714285714286,4.85714285714286,12,10,9.71428571428571,2.57142857142857,11.4285714285714,5.14285714285714,4.85714285714286,8.57142857142857,5.42857142857143,8.85714285714286
"E01004291",776,1,1,21,3,0,20,40,23,29,97,243,6,142,32,25,27,31,35,0.128865979381443,0.128865979381443,2.70618556701031,0.38659793814433,0,2.57731958762887,5.15463917525773,2.9639175257732,3.73711340206186,12.5,31.3144329896907,0.77319587628866,18.2989690721649,4.12371134020619,3.22164948453608,3.47938144329897,3.99484536082474,4.51030927835052
"E01004292",772,0,0,21,2,1,23,28,20,20,98,287,8,132,27,23,30,23,29,0,0,2.72020725388601,0.259067357512953,0.129533678756477,2.97927461139896,3.62694300518135,2.59067357512953,2.59067357512953,12.6943005181347,37.1761658031088,1.03626943005181,17.0984455958549,3.49740932642487,2.97927461139896,3.8860103626943,2.97927461139896,3.75647668393782
"E01004293",885,0,2,12,5,1,35,37,18,25,80,305,7,178,29,31,35,28,57,0,0.225988700564972,1.35593220338983,0.564971751412429,0.112994350282486,3.95480225988701,4.18079096045198,2.03389830508475,2.82485875706215,9.03954802259887,34.4632768361582,0.790960451977401,20.1129943502825,3.27683615819209,3.50282485875706,3.95480225988701,3.1638418079096,6.44067796610169
"E01004294",657,0,1,13,1,1,20,44,35,37,66,201,12,94,33,31,21,15,32,0,0.15220700152207,1.97869101978691,0.15220700152207,0.15220700152207,3.0441400304414,6.69710806697108,5.32724505327245,5.63165905631659,10.0456621004566,30.5936073059361,1.82648401826484,14.3074581430746,5.02283105022831,4.71841704718417,3.19634703196347,2.28310502283105,4.87062404870624
"E01004295",327,0,0,13,1,2,11,60,23,64,19,22,7,21,16,16,24,11,17,0,0,3.97553516819572,0.305810397553517,0.611620795107034,3.36391437308868,18.348623853211,7.03363914373089,19.5718654434251,5.81039755351682,6.72782874617737,2.14067278287462,6.42201834862385,4.89296636085627,4.89296636085627,7.3394495412844,3.36391437308868,5.19877675840979
"E01004296",474,0,0,10,1,1,23,34,35,54,43,85,9,71,26,29,21,19,13,0,0,2.10970464135021,0.210970464135021,0.210970464135021,4.85232067510549,7.17299578059072,7.38396624472574,11.3924050632911,9.07172995780591,17.9324894514768,1.89873417721519,14.9789029535865,5.48523206751055,6.11814345991561,4.43037974683544,4.0084388185654,2.74261603375527
"E01004297",720,1,1,15,1,0,27,35,24,33,70,211,15,156,25,19,30,26,31,0.138888888888889,0.138888888888889,2.08333333333333,0.138888888888889,0,3.75,4.86111111111111,3.33333333333333,4.58333333333333,9.72222222222222,29.3055555555556,2.08333333333333,21.6666666666667,3.47222222222222,2.63888888888889,4.16666666666667,3.61111111111111,4.30555555555556
"E01004298",387,0,0,16,1,1,16,57,32,64,24,36,8,45,11,17,22,17,20,0,0,4.1343669250646,0.258397932816538,0.258397932816538,4.1343669250646,14.7286821705426,8.2687338501292,16.5374677002584,6.2015503875969,9.30232558139535,2.0671834625323,11.6279069767442,2.84237726098191,4.39276485788114,5.68475452196382,4.39276485788114,5.16795865633075
"E01004300",288,0,0,16,0,1,10,40,21,56,14,20,3,22,24,8,23,16,14,0,0,5.55555555555556,0,0.347222222222222,3.47222222222222,13.8888888888889,7.29166666666667,19.4444444444444,4.86111111111111,6.94444444444444,1.04166666666667,7.63888888888889,8.33333333333333,2.77777777777778,7.98611111111111,5.55555555555556,4.86111111111111
