"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00167153",129,64,25,18,21,57,12,5,40,3,2,1,0,5,0,5,0
"E00167154",110,56,18,33,5,49,23,18,8,2,2,0,0,3,0,3,0
"E00167155",144,88,9,70,9,42,15,18,9,7,4,2,1,7,2,5,0
"E00167156",120,43,13,17,13,59,20,7,32,9,6,2,1,9,3,3,3
"E00167157",190,124,43,74,7,62,36,19,7,4,1,3,0,0,0,0,0
"E00167158",162,72,30,37,5,74,40,27,7,11,9,2,0,5,3,2,0
"E00167159",119,69,27,39,3,42,19,16,7,5,3,2,0,3,1,2,0
"E00167160",118,53,13,22,18,43,13,9,21,8,3,4,1,14,6,7,1
"E00167161",99,28,7,12,9,46,8,9,29,11,4,6,1,14,4,8,2
"E00167162",189,109,35,61,13,73,35,26,12,6,3,2,1,1,0,1,0
"E00167163",119,72,20,46,6,41,21,16,4,4,3,1,0,2,1,0,1
"E00167164",56,26,10,7,9,26,8,7,11,2,2,0,0,2,2,0,0
"E00167165",133,73,30,42,1,52,25,25,2,4,0,4,0,4,2,2,0
"E00167166",182,155,22,124,9,24,6,10,8,1,0,1,0,2,1,1,0
"E00167167",131,96,23,72,1,28,12,15,1,3,2,0,1,4,0,4,0
"E00167168",148,103,39,56,8,39,18,9,12,3,1,2,0,3,1,2,0
"E00167169",135,48,24,18,6,70,36,15,19,12,8,1,3,5,1,4,0
"E00167170",82,39,15,19,5,31,7,13,11,9,6,3,0,3,1,2,0
"E00167171",70,26,4,16,6,27,6,2,19,6,3,0,3,11,6,5,0
"E00167172",104,61,19,39,3,38,29,6,3,4,4,0,0,1,1,0,0
"E00167173",142,40,14,6,20,68,20,14,34,18,10,4,4,16,6,5,5
"E00167174",134,62,21,36,5,61,28,24,9,10,4,5,1,1,0,1,0
"E00167175",134,36,24,12,0,56,27,16,13,21,17,3,1,21,13,8,0
"E00167176",182,100,38,57,5,71,49,11,11,9,5,3,1,2,2,0,0
"E00167177",129,91,27,60,4,34,12,14,8,2,0,2,0,2,1,0,1
"E00167178",132,64,17,38,9,57,22,19,16,5,1,2,2,6,1,4,1
"E00167179",129,102,33,64,5,26,14,11,1,1,0,1,0,0,0,0,0
"E00167180",120,68,26,19,23,44,8,11,25,6,5,0,1,2,0,0,2
"E00167181",51,32,6,21,5,13,5,5,3,3,1,2,0,3,1,1,1
"E00167182",66,24,12,3,9,37,13,6,18,3,0,2,1,2,2,0,0
"E00167183",67,27,5,18,4,35,16,7,12,4,2,1,1,1,0,1,0
"E00167184",93,50,22,15,13,35,20,9,6,4,2,2,0,4,1,2,1
"E00167185",105,13,3,6,4,47,17,7,23,14,6,7,1,31,17,13,1
"E00167186",121,75,15,60,0,31,16,10,5,9,7,2,0,6,3,3,0
"E00167187",122,65,15,41,9,42,11,15,16,7,3,4,0,8,6,2,0
"E00167188",141,76,11,62,3,57,17,28,12,7,4,2,1,1,0,1,0
"E00167189",120,72,18,49,5,35,14,10,11,5,1,3,1,8,3,4,1
"E00167190",97,56,11,41,4,32,12,10,10,4,3,1,0,5,4,1,0
"E00167191",123,79,18,57,4,39,21,16,2,1,1,0,0,4,1,3,0
"E00167192",104,65,14,47,4,31,14,10,7,6,1,2,3,2,1,0,1
"E00167193",102,21,8,6,7,42,14,7,21,26,11,13,2,13,7,6,0
"E00167194",125,80,31,33,16,40,9,13,18,2,1,0,1,3,1,2,0
"E00167195",98,53,19,28,6,37,18,8,11,4,4,0,0,4,1,3,0
"E00167196",79,7,3,2,2,38,10,8,20,19,8,7,4,15,9,5,1
"E00167197",122,32,7,17,8,42,9,15,18,11,7,4,0,37,33,2,2
"E00167198",183,58,15,25,18,74,15,15,44,19,5,11,3,32,17,15,0
"E00167199",64,42,4,38,0,21,4,11,6,1,1,0,0,0,0,0,0
"E00167200",106,73,11,52,10,31,12,15,4,1,0,1,0,1,0,1,0
"E00167201",141,35,6,7,22,50,9,15,26,20,12,6,2,36,21,15,0
"E00167202",108,18,5,4,9,28,15,5,8,33,20,12,1,29,24,5,0
"E00167203",129,54,14,30,10,54,16,17,21,11,2,4,5,10,3,3,4
"E00167204",121,84,18,63,3,32,9,17,6,4,2,2,0,1,0,1,0
"E00167205",123,46,17,11,18,44,11,9,24,10,4,3,3,23,15,7,1
"E00167206",125,47,4,24,19,46,6,8,32,9,4,5,0,23,13,9,1
"E00167207",116,74,9,48,17,37,4,8,25,2,1,0,1,3,0,1,2
"E00167208",131,81,16,61,4,44,12,26,6,5,3,2,0,1,1,0,0
"E00167209",168,101,29,48,24,64,19,18,27,3,1,2,0,0,0,0,0
"E00167210",73,45,15,26,4,26,7,12,7,1,1,0,0,1,1,0,0
"E00167211",138,65,7,39,19,53,15,10,28,9,4,1,4,11,5,6,0
"E00167212",116,47,19,7,21,55,22,6,27,11,8,3,0,3,2,1,0
"E00167213",111,32,9,10,13,50,13,9,28,13,4,4,5,16,4,9,3
"E00167214",129,70,14,28,28,46,11,4,31,7,2,4,1,6,1,4,1
"E00167215",149,90,35,45,10,49,18,13,18,4,1,2,1,6,2,3,1
"E00167216",113,35,5,15,15,59,10,10,39,5,1,2,2,14,4,7,3
"E00167217",90,30,13,10,7,36,6,8,22,10,3,5,2,14,6,6,2
"E00167218",121,75,23,34,18,45,14,9,22,1,0,1,0,0,0,0,0
"E00167219",95,40,11,7,22,38,5,7,26,9,2,5,2,8,4,3,1
"E00167220",135,99,40,54,5,33,19,10,4,3,1,2,0,0,0,0,0
"E00167221",157,51,8,22,21,58,17,13,28,18,13,4,1,30,21,8,1
"E00167222",89,37,8,17,12,36,1,8,27,8,1,4,3,8,3,4,1
"E00167223",133,59,16,15,28,66,18,15,33,6,3,1,2,2,0,1,1
"E00167224",141,79,26,6,47,53,21,7,25,7,5,1,1,2,0,2,0
"E00167225",101,37,8,6,23,57,2,8,47,4,1,1,2,3,1,1,1
"E00167226",130,87,37,41,9,42,22,14,6,0,0,0,0,1,0,1,0
"E00167227",134,55,16,31,8,51,22,11,18,10,5,4,1,18,9,7,2
"E00167228",115,47,15,17,15,49,7,11,31,15,6,7,2,4,3,0,1
"E00167229",123,32,7,12,13,49,12,6,31,19,9,8,2,23,10,12,1
"E00167230",118,76,30,38,8,37,22,12,3,5,3,2,0,0,0,0,0
"E00167231",99,61,22,25,14,31,8,8,15,4,1,3,0,3,0,3,0
"E00167232",109,58,17,36,5,44,22,14,8,3,3,0,0,4,2,2,0
"E00167233",87,38,14,10,14,42,10,12,20,5,3,2,0,2,0,2,0
"E00167234",116,18,2,6,10,70,9,18,43,18,5,8,5,10,4,5,1
"E00167235",141,35,8,15,12,59,13,6,40,22,7,11,4,25,17,7,1
"E00167236",94,70,21,43,6,19,8,9,2,4,1,3,0,1,0,1,0
"E00167237",102,61,19,35,7,35,17,12,6,4,1,3,0,2,2,0,0
"E00167238",137,50,16,12,22,55,16,11,28,13,6,7,0,19,12,6,1
