"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01004287",854,70,264,260,147,59,180,8.19672131147541,30.9133489461358,30.4449648711944,17.2131147540984,6.90866510538642,21.0772833723653
"E01004288",525,75,108,231,98,60,95,14.2857142857143,20.5714285714286,44,18.6666666666667,11.4285714285714,18.0952380952381
"E01004289",670,39,212,179,80,54,159,5.82089552238806,31.6417910447761,26.7164179104478,11.9402985074627,8.05970149253731,23.7313432835821
"E01004290",575,25,158,87,45,14,115,4.34782608695652,27.4782608695652,15.1304347826087,7.82608695652174,2.43478260869565,20
"E01004291",1051,26,145,106,69,17,108,2.47383444338725,13.7963843958135,10.0856327307326,6.5651760228354,1.61750713606089,10.2759276879163
"E01004292",818,13,65,119,80,20,56,1.58924205378973,7.94621026894866,14.5476772616137,9.7799511002445,2.44498777506112,6.84596577017115
"E01004293",1133,12,155,143,93,27,116,1.05913503971756,13.6804942630185,12.621359223301,8.20829655781112,2.38305383936452,10.2383053839365
"E01004294",877,20,140,120,73,23,105,2.28050171037628,15.963511972634,13.6830102622577,8.32383124287343,2.62257696693273,11.9726339794755
"E01004295",500,62,99,208,144,44,95,12.4,19.8,41.6,28.8,8.8,19
"E01004296",684,37,143,169,92,38,113,5.4093567251462,20.906432748538,24.7076023391813,13.4502923976608,5.55555555555556,16.5204678362573
"E01004297",909,11,100,137,94,21,81,1.21012101210121,11.001100110011,15.0715071507151,10.3410341034103,2.31023102310231,8.91089108910891
"E01004298",635,65,159,179,102,42,145,10.2362204724409,25.0393700787402,28.1889763779528,16.0629921259843,6.61417322834646,22.8346456692913
"E01004300",522,48,149,160,72,43,131,9.19540229885057,28.544061302682,30.6513409961686,13.7931034482759,8.23754789272031,25.095785440613
"E01004301",413,54,77,156,79,38,56,13.0750605326877,18.6440677966102,37.772397094431,19.1283292978208,9.20096852300242,13.5593220338983
"E01004302",637,88,82,284,165,78,71,13.8147566718995,12.87284144427,44.5839874411303,25.9026687598116,12.2448979591837,11.1459968602826
"E01004303",967,64,227,278,180,51,140,6.61840744570838,23.4746639089969,28.7487073422958,18.6142709410548,5.27404343329886,14.4777662874871
"E01004304",653,65,162,243,131,60,132,9.95405819295559,24.8085758039816,37.2128637059724,20.0612557427259,9.18836140888208,20.2143950995406
"E01004305",699,81,172,233,118,66,144,11.587982832618,24.6065808297568,33.3333333333333,16.8812589413448,9.44206008583691,20.6008583690987
"E01004306",687,30,125,145,69,35,83,4.36681222707424,18.1950509461427,21.1062590975255,10.0436681222707,5.09461426491994,12.0815138282387
"E01004307",1014,15,134,100,58,12,70,1.4792899408284,13.2149901380671,9.86193293885602,5.71992110453649,1.18343195266272,6.90335305719921
"E01004308",504,38,105,137,75,26,83,7.53968253968254,20.8333333333333,27.1825396825397,14.8809523809524,5.15873015873016,16.468253968254
"E01004309",902,67,207,233,125,80,128,7.42793791574279,22.9490022172949,25.8314855875831,13.8580931263858,8.86917960088692,14.1906873614191
"E01004310",793,38,167,146,69,38,130,4.79192938209332,21.0592686002522,18.4110970996217,8.70113493064313,4.79192938209332,16.3934426229508
"E01004311",644,54,188,157,86,47,164,8.38509316770186,29.1925465838509,24.3788819875776,13.3540372670807,7.29813664596273,25.4658385093168
"E01004312",628,53,188,158,86,37,148,8.43949044585987,29.9363057324841,25.1592356687898,13.6942675159236,5.89171974522293,23.5668789808917
"E01004313",812,97,152,227,112,54,121,11.9458128078818,18.7192118226601,27.9556650246305,13.7931034482759,6.65024630541872,14.9014778325123
"E01004314",493,11,104,93,52,14,87,2.23123732251521,21.0953346855984,18.8640973630832,10.5476673427992,2.83975659229209,17.6470588235294
"E01004315",718,25,190,112,53,29,165,3.48189415041783,26.4623955431755,15.5988857938719,7.38161559888579,4.03899721448468,22.9805013927577
"E01004316",455,41,90,118,65,24,80,9.01098901098901,19.7802197802198,25.9340659340659,14.2857142857143,5.27472527472527,17.5824175824176
