"GeographyCode","QS801EW0001","QS801EW0002","QS801EW0003","QS801EW0004","QS801EW0005","QS801EW0006","QS801EW0007","QS801EW0008","QS801EW0009","QS801EW0010","QS801EW0011","QS801EW0012","QS801EW0013"
"E00021371",199,124,0,0,0,2,14,24,13,7,1,12,2
"E00021372",385,209,0,0,1,0,10,19,35,34,19,40,18
"E00021374",420,273,0,0,6,8,15,40,30,12,22,10,4
"E00021375",389,223,0,2,8,5,3,43,47,24,14,9,11
"E00021376",384,233,0,0,2,9,13,30,47,8,12,25,5
"E00021377",586,337,0,0,1,4,14,39,52,35,30,54,20
"E00021378",424,193,0,1,3,2,7,28,30,42,32,51,35
"E00021379",283,168,0,0,9,7,8,22,13,14,11,18,13
"E00021380",329,165,1,2,15,5,11,19,26,18,21,18,28
"E00021381",410,279,0,0,4,8,9,30,38,12,14,10,6
"E00021382",411,268,0,0,7,4,11,29,36,21,21,11,3
"E00021383",523,333,0,1,12,17,17,50,40,15,17,11,10
"E00021384",220,155,0,0,2,3,3,9,15,9,8,12,4
"E00021385",433,254,0,0,2,2,6,18,18,30,34,43,26
"E00021386",360,197,0,0,1,0,11,30,44,18,30,16,13
"E00021387",664,442,0,1,6,9,17,66,46,22,22,24,9
"E00021388",330,186,0,3,2,9,13,31,31,15,16,17,7
"E00021391",492,278,0,0,4,4,7,45,65,33,30,19,7
"E00021392",369,246,0,1,3,6,12,11,30,12,19,19,10
"E00021393",423,246,0,1,1,8,15,45,29,29,15,27,7
"E00021394",358,220,0,1,4,2,14,28,32,11,21,17,8
"E00021395",336,218,0,0,0,1,4,18,34,21,24,9,7
"E00021396",351,231,0,1,4,5,10,27,26,15,15,10,7
"E00021397",566,365,0,0,3,12,13,41,51,30,22,24,5
"E00021398",474,247,0,0,3,8,16,41,50,29,21,42,17
"E00021399",371,249,1,1,2,8,4,19,22,10,16,13,26
"E00021400",394,240,2,2,1,7,5,22,25,28,25,22,15
"E00021402",276,171,0,0,6,3,7,15,17,17,15,18,7
"E00021404",256,146,0,0,1,1,8,3,15,14,28,27,13
"E00021405",429,271,0,2,2,6,6,23,30,20,21,28,20
"E00021406",371,209,0,0,4,7,11,35,30,20,19,32,4
"E00021407",540,364,0,0,4,3,11,25,61,21,23,18,10
"E00021408",340,155,0,0,4,3,7,8,24,27,41,41,30
"E00021409",274,160,1,1,0,1,8,7,14,17,33,22,10
"E00021410",316,190,0,1,1,7,6,14,24,12,19,32,10
"E00021411",389,212,0,3,8,16,14,26,32,15,28,27,8
"E00021412",514,313,1,0,2,8,18,24,39,24,20,29,36
"E00021413",413,228,0,0,1,8,20,43,42,22,21,20,8
"E00021414",402,190,0,0,3,8,12,61,41,24,22,30,11
"E00021415",379,232,0,0,3,1,10,18,33,29,14,28,11
"E00021416",369,217,0,1,9,2,8,23,26,28,17,28,10
"E00021417",275,148,0,0,7,7,2,15,20,9,21,33,13
"E00021418",213,104,0,0,0,1,7,5,28,6,19,26,17
"E00021419",446,230,0,0,9,9,13,54,37,14,37,31,12
"E00021420",285,170,0,1,2,8,13,13,33,12,18,12,3
"E00021421",448,218,0,0,0,12,21,47,42,24,30,31,23
"E00021422",209,124,0,0,1,3,6,22,13,12,12,9,7
"E00021423",417,205,0,0,1,12,23,45,40,22,19,36,14
"E00021424",212,109,0,1,1,2,11,5,13,8,17,31,14
"E00021425",232,140,0,0,1,4,6,6,15,13,14,23,10
"E00021426",349,209,0,0,3,4,8,45,23,20,12,16,9
"E00021427",229,131,0,0,2,2,4,3,15,13,18,21,20
"E00021428",393,237,0,0,3,0,5,23,48,15,22,24,16
"E00021429",141,94,0,0,1,1,4,8,10,4,6,11,2
"E00021430",331,212,0,1,4,3,6,17,29,16,25,11,7
"E00021431",319,191,0,0,0,5,13,16,38,10,18,17,11
"E00021432",387,226,0,2,8,9,9,25,35,15,33,13,12
"E00021433",624,349,0,0,6,11,20,45,49,30,38,53,23
"E00021434",421,234,0,3,4,10,11,37,43,15,19,30,15
"E00021437",318,192,0,0,1,7,14,18,19,7,10,26,24
"E00021438",210,134,0,0,6,4,7,10,17,4,16,9,3
"E00021439",236,107,0,0,3,8,8,18,17,6,26,27,16
"E00021440",451,242,0,1,1,11,32,37,21,14,20,36,36
"E00021441",358,284,0,0,2,5,8,18,16,8,4,12,1
"E00021442",335,277,0,3,3,3,5,22,11,5,4,1,1
"E00021443",265,201,2,4,7,5,4,4,14,2,3,11,8
"E00021444",348,255,0,0,3,5,7,19,27,4,8,7,13
"E00021445",422,200,0,0,0,7,15,57,56,4,23,35,25
"E00021446",448,209,0,0,5,6,12,61,48,24,41,31,11
"E00021447",266,180,0,0,0,1,4,16,15,11,16,16,7
"E00021448",337,211,0,3,1,4,8,29,32,17,16,10,6
"E00021449",333,209,1,0,2,4,4,16,18,15,20,24,20
"E00021450",187,151,0,1,2,1,2,4,7,11,3,4,1
"E00021451",400,241,0,1,0,4,12,20,31,28,23,22,18
"E00021452",212,136,0,3,2,1,2,10,19,8,9,16,6
"E00021453",310,218,0,0,5,5,2,16,9,9,17,17,12
"E00021454",357,250,0,1,2,4,8,35,26,8,5,15,3
"E00021455",346,217,0,0,3,11,7,22,37,19,14,13,3
"E00021458",288,171,0,0,1,5,5,11,27,9,19,30,10
"E00021459",256,180,0,0,1,1,3,1,19,12,10,18,11
"E00021460",385,228,0,0,0,4,16,22,31,13,25,36,10
"E00021461",250,159,0,1,4,3,3,19,16,10,13,17,5
"E00021462",314,194,0,2,4,4,4,18,25,12,8,20,23
"E00021463",338,196,0,1,2,8,9,14,26,17,18,32,15
"E00021464",279,184,0,0,4,4,5,9,13,10,20,24,6
"E00021465",416,235,0,0,2,5,19,40,27,13,18,35,22
"E00021466",735,371,0,1,1,7,11,21,36,25,22,65,175
