"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00021599",284,132,86,38,8,152,126,7,2,14,3
"E00021600",280,140,88,44,8,140,112,6,7,10,5
"E00021601",205,102,74,22,6,103,78,9,3,11,2
"E00021602",319,116,70,44,2,203,172,2,3,14,12
"E00021603",168,82,32,42,8,86,69,9,0,6,2
"E00021604",290,118,88,26,4,172,123,5,13,24,7
"E00021605",269,122,72,46,4,147,103,11,3,17,13
"E00021606",267,130,88,34,8,137,84,13,7,19,14
"E00021607",205,72,58,12,2,133,81,9,5,22,16
"E00021608",202,56,26,30,0,146,117,4,5,15,5
"E00021610",267,112,70,42,0,155,117,7,7,12,12
"E00021611",330,170,126,34,10,160,118,12,8,11,11
"E00021612",204,106,42,48,16,98,69,10,4,12,3
"E00021613",184,88,34,46,8,96,69,8,4,14,1
"E00021614",251,120,68,46,6,131,101,6,5,17,2
"E00021615",205,88,50,34,4,117,89,5,3,19,1
"E00021616",315,126,108,18,0,189,127,20,10,13,19
"E00021617",164,54,24,16,14,110,97,6,1,5,1
"E00021618",185,98,86,12,0,87,51,11,6,12,7
"E00021619",322,150,122,24,4,172,122,15,11,16,8
"E00021620",207,74,42,22,10,133,104,8,4,11,6
"E00021621",248,110,102,6,2,138,87,14,8,15,14
"E00021622",232,108,60,44,4,124,101,10,7,5,1
"E00021623",133,44,32,6,6,89,58,5,5,15,6
"E00021624",285,120,78,36,6,165,130,11,10,11,3
"E00021625",416,190,94,86,10,226,194,13,3,12,4
"E00021626",316,126,80,38,8,190,144,15,3,18,10
"E00021627",342,124,72,44,8,218,183,13,10,11,1
"E00021628",188,116,88,26,2,72,39,12,5,14,2
"E00021629",211,104,52,46,6,107,84,5,4,14,0
"E00021630",221,81,58,14,9,140,94,6,12,14,14
"E00021631",267,148,70,72,6,119,103,2,6,6,2
"E00021632",212,80,58,22,0,132,121,1,1,7,2
"E00021633",200,124,66,50,8,76,55,7,1,10,3
"E00021634",249,140,74,60,6,109,82,14,1,8,4
"E00021635",206,100,52,42,6,106,91,3,5,6,1
"E00021636",247,106,90,10,6,141,104,3,13,11,10
"E00021637",372,164,120,28,16,208,149,11,13,18,17
"E00021639",265,100,92,8,0,165,111,21,4,16,13
"E00021640",286,134,106,24,4,152,93,4,11,24,20
"E00021641",331,120,92,22,6,211,153,10,10,18,20
"E00021642",253,122,108,12,2,131,84,12,10,11,14
"E00021643",194,84,58,12,14,110,76,10,10,9,5
"E00021644",281,100,88,12,0,181,116,11,13,18,23
"E00021646",337,144,132,12,0,193,127,17,17,7,25
"E00021648",193,80,44,30,6,113,99,6,2,5,1
"E00021649",317,136,112,22,2,181,122,23,10,11,15
"E00021650",215,76,46,24,6,139,114,7,3,10,5
"E00021651",224,146,94,50,2,78,52,5,9,10,2
"E00021652",253,142,84,48,10,111,80,8,7,13,3
"E00021653",403,170,152,10,8,233,142,36,17,22,16
"E00021654",268,110,86,14,10,158,109,5,14,19,11
"E00021655",195,82,78,4,0,113,79,11,9,4,10
"E00021656",349,120,82,38,0,229,186,8,7,11,17
"E00021657",196,118,66,48,4,78,65,6,2,4,1
"E00021658",162,84,46,38,0,78,65,4,2,6,1
"E00021659",268,94,76,10,8,174,143,9,6,12,4
"E00021660",234,94,68,22,4,140,87,9,7,20,17
"E00021661",410,132,78,44,10,278,204,16,15,16,27
"E00021662",437,146,120,26,0,291,226,10,8,25,22
"E00021663",204,70,56,10,4,134,87,8,9,20,10
"E00021665",327,138,120,12,6,189,126,15,12,20,16
"E00021666",423,196,138,38,20,227,165,20,19,13,10
"E00021667",333,158,140,12,6,175,116,16,15,11,17
"E00021668",431,148,76,54,18,283,186,10,17,40,30
"E00021669",334,146,134,12,0,188,118,26,12,16,16
"E00021670",265,135,118,11,6,130,82,12,11,12,13
"E00021671",248,104,90,12,2,144,102,14,8,6,14
"E00021672",362,118,90,26,2,244,195,13,11,10,15
"E00021673",298,136,112,18,6,162,108,7,4,22,21
"E00021674",330,138,80,50,8,192,163,10,3,12,4
"E00021675",371,136,128,4,4,235,154,20,9,23,29
"E00021676",284,94,32,56,6,190,161,16,2,9,2
"E00021677",273,112,98,4,10,161,120,14,4,15,8
"E00021678",359,130,102,22,6,229,198,11,6,11,3
"E00021679",125,56,32,18,6,69,57,4,5,2,1
"E00021680",423,182,118,50,14,241,188,13,6,16,18
